"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%4) - 0.5 + (Event #/(4956 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
419056,216431,141,265626,167202,133,17143,9776,74,2.62407,694,656,0,252,132,0,392,263,0,3648,2408,42,1.93331
177676,113185,129,138252,95751,120,1933,1009,5,-0.375731,162,170,0,73,67,0,105,97,0,546,371,0,1.93722
379155,229802,146,170524,102685,128,144,155,0,0.62447,89,106,0,-24,34,0,73,67,0,309,186,0,1.93722
385923,235488,133,151747,83730,128,1752,831,0,-0.374924,205,143,0,93,132,0,108,114,0,504,373,0,1.94893
546493,280835,145,379691,235594,150,6139,2654,67,0.625277,492,447,0,39,114,0,13,100,0,1112,697,0,1.9499
164130,128470,123,94147,70453,107,16929,11039,65,1.62548,566,545,0,146,85,0,596,403,0,3408,2743,37,1.95478
378801,183221,143,401901,206727,146,8067,3986,68,2.62729,328,205,0,-3,104,0,95,175,0,1643,956,0,1.9743
571250,280135,162,416080,221225,148,23772,12575,90,0.627698,811,568,0,90,82,0,239,245,0,3040,1641,41,1.98796
453138,254487,139,189529,96701,138,3834,1973,47,2.62891,274,164,0,-117,11,0,139,95,0,848,467,0,2.00846
275126,148140,135,223620,139377,133,2732,1185,37,2.62972,196,171,0,-124,36,0,-9,92,0,504,330,0,2.02798
290244,187142,126,149465,98012,126,2190,1225,29,0.631733,99,158,0,216,177,0,155,104,0,575,379,0,2.06604
433061,224046,159,122846,60729,138,5,72,0,1.63274,123,194,0,-8,72,0,54,60,0,491,324,0,2.07287
404142,270968,125,166822,106189,130,1231,759,0,-0.366855,217,194,0,65,73,0,223,151,0,866,510,0,2.07677
174457,126535,111,155593,104093,114,5178,3298,53,0.633347,304,377,0,119,83,0,-36,30,0,139,139,0,2.07677
215229,151748,117,99783,70914,114,2389,1390,30,-0.366048,678,634,0,102,109,0,400,267,0,2482,2205,29,2.08556
