"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
62729.8,36185,113612,30234.1,20740,95536.3,77.28,69.72,24.78,125.55,3740.4,64.9,0.387579
79410.1,48784,106679,31077.5,22392,90956.3,47.04,49.98,75.18,78.12,6298.2,76.11,0.387579
93540.3,55899,109667,34968.4,20774,110315,95.76,88.62,84,150.66,5500.8,95.58,0.389763
59553.2,39600,98557.5,17276.3,13236,85540.8,25.2,39.9,41.58,78.12,2534.4,49.56,0.389763
51432.5,28277,119202,23818.2,16449,94896.3,68.04,62.58,29.4,76.26,3949.2,105.61,0.390855
86035.6,55085,102359,18773.2,14205,86611.6,77.28,8.4,2.1,71.61,4342.5,51.33,0.391947
65736.3,37226,115728,68308.8,27315,163891,240.24,139.02,63.42,126.48,7519.5,170.51,0.391947
65718.8,47769,90162,15550.9,12676,80399.6,37.8,12.6,70.14,39.99,2179.8,26.55,0.391947
73928.4,45162,107280,29975.4,21863,89853.5,57.12,26.46,31.08,100.44,5787.9,39.53,0.393038
63312.9,43325,95770.9,28647.4,21680,86597.5,59.64,45.36,-23.52,64.17,3217.5,43.66,0.39413
81270,51380,103661,21037,15896,86731.1,36.12,78.54,24.36,111.6,5068.8,33.63,0.39413
46089.4,28056,107660,28601.2,20891,89723.1,50.4,43.68,22.26,94.86,3641.4,48.97,0.395222
66246.6,47992,90463.8,18865.6,13452,91910,80.64,65.1,-58.38,90.21,4217.4,68.44,0.396314
61204.5,43083,93101.6,16024.7,12422,84543,51.24,38.22,2.1,69.75,3170.7,57.82,0.397405
82164.6,51294,104978,33038,24285,89157.1,69.72,92.82,119.28,84.63,5006.7,90.27,0.398497
48554.1,29245,108806,27778.8,19086,95384.7,85.68,24.36,-8.4,110.67,6561,106.79,0.399589
36680.7,21892,109808,23658.6,17000,91205.3,27.72,57.54,11.34,74.4,4217.4,90.27,0.399589
47542.6,31680,98350.8,21763.6,16680,85509.4,63.84,29.4,-37.38,53.94,3141,44.84,0.400681
108407,61764,115027,106693,74208,94224.4,264.6,239.82,118.44,178.56,15683.4,159.3,0.400681
80755.5,43567,121477,42138.6,24098,114599,86.52,90.3,21.42,85.56,3228.3,70.8,0.400681
64495.2,35928,117645,31275.7,21285,96297.2,99.96,66.36,32.34,141.36,4684.5,135.7,0.401772
55683.6,34618,105416,23814,17146,91022.6,133.56,38.22,49.98,96.72,4729.5,89.09,0.401772
