"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%5) - 0.5 + (Event #/(7059 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
299025,195815,141,148238,91186,124,2084,1005,7,-0.425637,468,378,0,64,87,0,352,199,0,2309,1359,30,1.22957
353693,245174,123,138073,92263,122,2775,1883,33,0.574504,435,412,0,18,75,0,329,230,0,1972,1353,22,1.22957
362295,218392,134,205408,112726,132,972,508,0,3.57564,603,410,0,-56,73,0,313,172,0,2387,1364,28,1.24621
405913,262712,141,129276,92786,121,2701,1516,34,-0.424221,884,679,0,-7,112,0,594,351,0,3558,2483,40,1.24725
323492,200484,145,211437,94250,145,2750,1086,12,2.5762,796,494,0,88,99,0,476,217,0,4016,1753,39,1.24829
214322,146110,120,160400,106731,122,1426,916,0,-0.423513,568,429,0,-45,49,0,387,230,0,2223,1533,29,1.25141
238317,131830,127,299393,172585,129,1601,880,0,1.57748,555,651,0,187,91,0,459,285,0,2704,1649,31,1.26494
404662,250865,126,122948,72604,128,785,331,0,3.57776,289,211,0,143,112,0,66,116,0,1127,718,0,1.26806
311338,200279,127,86931,59113,117,855,648,0,0.578045,273,285,0,17,42,0,151,127,0,1347,978,0,1.27222
519892,266909,166,368457,190342,151,2734,1263,21,2.57833,719,732,0,93,89,0,464,226,0,3530,1778,45,1.2743
303434,217493,128,105039,62798,127,823,419,0,3.57847,208,163,0,-42,62,0,146,89,0,796,494,0,1.27742
225091,149046,122,198775,121141,125,1300,681,0,0.579462,410,282,0,41,46,0,282,178,0,1389,858,0,1.29927
314340,204631,132,177091,106568,128,374,237,0,1.58031,407,298,0,32,109,0,382,173,0,2016,1084,21,1.32319
406593,279982,131,217932,147152,131,891,457,0,2.58045,449,447,0,114,101,0,207,179,0,1569,1005,3,1.32319
414589,263851,148,233335,134263,133,2819,1533,33,3.5806,911,751,0,146,93,0,418,257,0,3348,2000,43,1.32423
